Course Subject,Course Catalog Code,Class Section Code,Enrollment Capacity,Start Time,End Time,Mon,Tue,Wed,Thu,Fri,Sat,SUN
ACCT,110,1,50,08:00,09:15,N,Y,N,Y,N,N,N
ACCT,110,2,50,09:30,10:45,N,Y,N,Y,N,N,N
ACCT,110,3,50,11:00,12:15,N,Y,N,Y,N,N,N
ACCT,110,4,50,12:30,13:45,N,Y,N,Y,N,N,N
ACCT,110,5,50,14:00,15:15,N,Y,N,Y,N,N,N
ACCT,210,1,45,08:00,09:15,N,Y,N,Y,N,N,N
ACCT,210,2,45,09:30,10:45,N,Y,N,Y,N,N,N
ACCT,210,3,45,11:00,12:15,N,Y,N,Y,N,N,N
ADPR,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
ADPR,101,2,50,09:30,10:45,N,Y,N,Y,N,N,N
ADPR,201,1,35,08:00,09:15,N,Y,N,Y,N,N,N
ADPR,201,2,35,09:30,10:45,N,Y,N,Y,N,N,N
ADPR,201,3,35,11:00,12:15,N,Y,N,Y,N,N,N
AMSLC,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
AMSLC,101,2,50,11:00,12:15,Y,N,Y,N,Y,N,N
AMSLC,102,1,24,08:00,09:15,N,Y,N,Y,N,N,N
AMSLC,102,2,24,09:30,10:45,N,Y,N,Y,N,N,N
AMSLC,102,3,24,11:00,12:15,Y,N,Y,N,Y,N,N
AMSLC,201,1,35,09:30,10:45,N,Y,N,Y,N,N,N
AMSLC,201,2,35,11:00,12:15,Y,N,Y,N,Y,N,N
ANTH,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
ANTH,101,2,50,14:00,15:15,Y,N,Y,N,Y,N,N
ASLE,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
ASLE,101,2,50,11:00,12:15,Y,N,Y,N,Y,N,N
ASLE,201,1,35,08:00,09:15,N,Y,N,Y,N,N,N
ASLE,201,2,35,09:30,10:45,N,Y,N,Y,N,N,N
ASLE,201,3,35,14:00,15:15,Y,N,Y,N,Y,N,N
ASLE,301,1,35,08:00,09:15,N,Y,N,Y,N,N,N
ASLE,301,2,35,09:30,10:45,N,Y,N,Y,N,N,N
ASLE,301,3,35,11:00,12:15,Y,N,Y,N,Y,N,N
BIOL,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
BIOL,101,4,50,12:30,13:45,N,Y,N,Y,N,N,N
BIOL,101,6,50,15:30,16:45,N,Y,N,Y,N,N,N
BIOL,101,11,50,12:30,13:45,Y,N,Y,N,Y,N,N
BIOL,101,13,50,15:30,16:45,Y,N,Y,N,Y,N,N
BIOL,101,15,50,08:00,09:15,N,Y,N,Y,N,N,N
BIOL,101,16,50,09:30,10:45,N,Y,N,Y,N,N,N
BIOL,101,17,50,11:00,12:15,N,Y,N,Y,N,N,N
BIOL,101,19,50,14:00,15:15,N,Y,N,Y,N,N,N
BIOL,101,21,50,17:00,18:15,N,Y,N,Y,N,N,N
BIOL,101,22,50,08:00,09:15,Y,N,Y,N,Y,N,N
BIOL,101,23,50,09:30,10:45,Y,N,Y,N,Y,N,N
BIOL,102,1,24,08:00,09:15,N,Y,N,Y,N,N,N
BIOL,102,2,24,09:30,10:45,N,Y,N,Y,N,N,N
BIOL,102,3,24,11:00,12:15,N,Y,N,Y,N,N,N
BIOL,102,4,24,12:30,13:45,N,Y,N,Y,N,N,N
BIOL,102,5,24,14:00,15:15,N,Y,N,Y,N,N,N
BIOL,102,6,24,15:30,16:45,N,Y,N,Y,N,N,N
BIOL,102,7,24,17:00,18:15,N,Y,N,Y,N,N,N
BIOL,102,8,24,08:00,09:15,Y,N,Y,N,Y,N,N
BIOL,102,9,24,09:30,10:45,Y,N,Y,N,Y,N,N
BIOL,102,10,24,11:00,12:15,Y,N,Y,N,Y,N,N
BIOL,102,11,24,12:30,13:45,Y,N,Y,N,Y,N,N
BIOL,102,12,24,14:00,15:15,Y,N,Y,N,Y,N,N
BIOL,102,13,24,15:30,16:45,Y,N,Y,N,Y,N,N
BIOL,102,14,24,17:00,18:15,Y,N,Y,N,Y,N,N
BIOL,205,1,40,08:00,09:15,N,Y,N,Y,N,N,N
BIOL,205,2,40,09:30,10:45,N,Y,N,Y,N,N,N
BIOL,205,3,40,11:00,12:15,N,Y,N,Y,N,N,N
BIOL,205,4,40,12:30,13:45,N,Y,N,Y,N,N,N
BIOL,205,5,40,14:00,15:15,N,Y,N,Y,N,N,N
BIOL,205,6,40,15:30,16:45,N,Y,N,Y,N,N,N
BIOL,205,7,40,17:00,18:15,N,Y,N,Y,N,N,N
BMED,101,1,50,08:00,08:50,Y,N,Y,N,Y,N,N
BMED,101,2,50,09:00,09:50,Y,N,Y,N,Y,N,N
BMED,101,3,50,10:00,10:50,Y,N,Y,N,Y,N,N
BMED,101,4,50,11:00,11:50,Y,N,Y,N,Y,N,N
BMED,210,1,36,08:00,08:50,Y,N,Y,N,Y,N,N
BMED,210,2,36,09:00,09:50,Y,N,Y,N,Y,N,N
BMED,210,3,36,10:00,10:50,Y,N,Y,N,Y,N,N
BMED,210,4,36,11:00,11:50,Y,N,Y,N,Y,N,N
BMED,210,5,36,12:00,12:50,Y,N,Y,N,Y,N,N
CDIL,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
CDIL,201,1,35,09:30,10:45,N,Y,N,Y,N,N,N
CHEM,151,1,40,08:00,09:15,N,Y,N,Y,N,N,N
CHEM,151,10,40,11:00,12:15,Y,N,Y,N,Y,N,N
CHEM,151,16,40,09:30,10:45,N,Y,N,Y,N,N,N
CHEM,151,20,40,15:30,16:45,N,Y,N,Y,N,N,N
CHEM,151,25,40,12:30,13:45,Y,N,Y,N,Y,N,N
CHEM,152,1,40,08:00,09:15,N,Y,N,Y,N,N,N
CHEM,152,2,40,09:30,10:45,N,Y,N,Y,N,N,N
CHEM,152,3,40,11:00,12:15,N,Y,N,Y,N,N,N
CHEM,152,11,40,12:30,13:45,Y,N,Y,N,Y,N,N
CHEM,152,12,40,14:00,15:15,Y,N,Y,N,Y,N,N
CHEM,231,1,40,08:00,09:15,N,Y,N,Y,N,N,N
CHEM,231,2,40,09:30,10:45,N,Y,N,Y,N,N,N
CHEM,231,3,40,11:00,12:15,N,Y,N,Y,N,N,N
CHEM,232,1,40,08:00,09:15,N,Y,N,Y,N,N,N
CHEM,232,2,40,09:30,10:45,N,Y,N,Y,N,N,N
CHEM,232,3,40,11:00,12:15,N,Y,N,Y,N,N,N
CHME,201,1,36,08:00,08:50,Y,N,Y,N,Y,N,N
CHME,201,2,36,09:00,09:50,Y,N,Y,N,Y,N,N
CHME,201,3,36,10:00,10:50,Y,N,Y,N,Y,N,N
CHME,201,4,36,11:00,11:50,Y,N,Y,N,Y,N,N
CHME,301,1,36,08:00,08:50,Y,N,Y,N,Y,N,N
CHME,301,2,36,09:00,09:50,Y,N,Y,N,Y,N,N
CHME,301,3,36,10:00,10:50,Y,N,Y,N,Y,N,N
CHME,301,4,36,11:00,11:50,Y,N,Y,N,Y,N,N
CIVT,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
CIVT,101,2,50,09:30,10:45,N,Y,N,Y,N,N,N
CIVT,201,1,35,08:00,09:15,N,Y,N,Y,N,N,N
CIVT,201,2,35,09:30,10:45,N,Y,N,Y,N,N,N
CMPE,160,1,36,08:00,08:50,Y,N,Y,N,Y,N,N
CMPE,160,2,36,09:00,09:50,Y,N,Y,N,Y,N,N
CMPE,160,3,36,10:00,10:50,Y,N,Y,N,Y,N,N
CMPE,160,4,36,11:00,11:50,Y,N,Y,N,Y,N,N
CMPE,160,5,36,12:00,12:50,Y,N,Y,N,Y,N,N
CMPE,160,6,36,14:00,14:50,Y,N,Y,N,Y,N,N
CMPE,250,1,36,08:00,08:50,Y,N,Y,N,Y,N,N
CMPE,250,2,36,09:00,09:50,Y,N,Y,N,Y,N,N
CMPE,250,3,36,10:00,10:50,Y,N,Y,N,Y,N,N
CMPE,250,4,36,11:00,11:50,Y,N,Y,N,Y,N,N
CMPE,250,5,36,12:00,12:50,Y,N,Y,N,Y,N,N
CMPE,250,6,36,15:00,15:50,Y,N,Y,N,Y,N,N
COMM,101,1,50,08:00,09:15,N,Y,N,Y,N,N,N
COMM,101,2,50,09:30,10:45,N,Y,N,Y,N,N,N
COMM,101,3,50,11:00,12:15,N,Y,N,Y,N,N,N
COMM,101,4,50,12:30,13:45,N,Y,N,Y,N,N,N
