Student Plan,Number of Expected New Students,Pct in Math161,Pct in Math181,Pct in Math171,Pct in Math182,Pct in Math190,Pct in Math219,Pct in Math221
ACCT-BS,120,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BCHEM-BS,65,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BIOINFO-BS,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BIOL-BS,135,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BIOTECH-BS,70,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BMED-BS,145,0.0,0.6,0.0,0.4,0.0,0.0,0.0
BMSC-BS,90,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CHEM-BS,75,0.0,0.6,0.0,0.4,0.0,0.0,0.0
CHME-BS,110,0.0,0.6,0.0,0.4,0.0,0.0,0.0
CIT-BS,140,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CIVT-BS,50,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CMPE-BS,150,0.0,0.6,0.0,0.2,0.0,0.2,0.0
COMPM-BS,35,0.0,0.6,0.0,0.4,0.0,0.0,0.0
COMPSCI-BS,250,0.0,0.52,0.2,0.07,0.07,0.07,0.07
CPET-BS,65,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CYBER-BS,180,0.0,0.6,0.0,0.2,0.2,0.0,0.0
ECON-BS,55,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EEEE-BS,130,0.0,0.6,0.0,0.2,0.0,0.2,0.0
EEET-BS,55,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENVS-BS,60,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FINC-BS,100,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GAMED-BS,160,0.0,0.6,0.0,0.4,0.0,0.0,0.0
GBSM-BS,80,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC-BS,90,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HTMG-BS,70,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IMGS-BS,40,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISEE-BS,95,0.0,0.6,0.0,0.4,0.0,0.0,0.0
MATH-BS,60,0.0,0.6,0.0,0.2,0.0,0.2,0.0
MCEE-BS,85,0.0,0.6,0.0,0.4,0.0,0.0,0.0
MCET-BS,60,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MECE-BS,240,0.0,0.52,0.2,0.07,0.07,0.07,0.07
MET-BS,70,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MFET-BS,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MGMT-MIS-BS,110,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MPSC-BS,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MRKT-BS,95,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NSCI-BS,65,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PHOTO-BS,55,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PHYS-BS,50,0.0,0.6,0.0,0.2,0.0,0.2,0.0
PKSC-BS,55,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PSYCH-BS,130,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SCMG-BS,75,1.0,0.0,0.0,0.0,0.0,0.0,0.0
STAT-BS,55,0.0,0.6,0.0,0.4,0.0,0.0,0.0
SWEN-BS,200,0.0,0.6,0.0,0.2,0.2,0.0,0.0
