College,Student Plan,Course Subject,Course Catalog Code,Course Title,Priority Type
GCCIS,COMPSCI-BS,CSCI,140,Computer Science for AP Students,Block for Required Core
GCCIS,COMPSCI-BS,CSCI,141,Computer Science I,Block for Required Core
GCCIS,COMPSCI-BS,MATH,171,Calculus A,Needs Scheduling
GCCIS,COMPSCI-BS,MATH,181,Project-Based Calculus I,Needs Scheduling
GCCIS,COMPSCI-BS,MATH,182,Calculus II,Needs Scheduling
GCCIS,COMPSCI-BS,MATH,190,Discrete Mathematics for Computing,Needs Scheduling
GCCIS,COMPSCI-BS,MATH,219,Multivariable Calculus,Needs Scheduling
GCCIS,COMPSCI-BS,MATH,221,Multivariable and Vector Calculus,Needs Scheduling
KGCOE,MECE-BS,MATH,171,Calculus A,Needs Scheduling
KGCOE,MECE-BS,MATH,181,Project-Based Calculus I,Needs Scheduling
KGCOE,MECE-BS,MATH,182,Calculus II,Needs Scheduling
KGCOE,MECE-BS,MATH,190,Discrete Mathematics for Computing,Needs Scheduling
KGCOE,MECE-BS,MATH,219,Multivariable Calculus,Needs Scheduling
KGCOE,MECE-BS,MATH,221,Multivariable and Vector Calculus,Needs Scheduling
KGCOE,MECE-BS,MECE,102,Engineering Mechanics Laboratory,Block for Required Core
KGCOE,MECE-BS,MECE,104,Engineering Design Tools,Block for Required Core
KGCOE,MECE-BS,MECE,117,Introduction to Programming for Engineers,Block for Required Core
GCCIS,CYBER-BS,CSCI,141,Computer Science I,Block for Required Core
GCCIS,CYBER-BS,CSCI,142,Computer Science II,Block for Required Core
GCCIS,CYBER-BS,CSCI,243,The Mechanics of Programming,Block for Required Core
GCCIS,CYBER-BS,MATH,181,Project-Based Calculus I,Needs Scheduling
GCCIS,CYBER-BS,MATH,182,Calculus II,Needs Scheduling
GCCIS,CYBER-BS,MATH,190,Discrete Mathematics for Computing,Needs Scheduling
GCCIS,SWEN-BS,SWEN,261,Introduction to Software Engineering,Block for Required Core
GCCIS,SWEN-BS,SWEN,262,Engineering of Software Subsystems,Block for Required Core
